上证50 (000016) on 06-17 17:05:51, price= 3000.03, ratio= -1.57%,amount=941910.56 
东宝生物(300239) on 07-13 22:17:50, price=14.64, ratio=  0.07%,amount=14024.87 
飞力达  (300240) on 07-13 22:17:50, price=13.92, ratio=  0.00%,amount=1380.12 
瑞丰光电(300241) on 07-13 22:17:50, price=12.91, ratio=  0.16%,amount=18051.82 
明家科技(300242) on 07-13 22:17:50, price=51.76, ratio=  0.00%,amount=279.14 
瑞丰高材(300243) on 07-13 22:17:50, price=14.40, ratio=  0.00%,amount=2252.13 
迪安诊断(300244) on 07-13 22:17:50, price=81.73, ratio=  0.00%,amount=3810.33 
天玑科技(300245) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
宝莱特  (300246) on 07-13 22:17:50, price=31.12, ratio=  0.06%,amount=30357.76 
桑乐金  (300247) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
新开普  (300248) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
依米康  (300249) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
初灵信息(300250) on 07-13 22:17:50, price=47.74, ratio=  0.00%,amount=1220.37 
光线传媒(300251) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
金信诺  (300252) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
卫宁软件(300253) on 07-13 22:17:50, price=57.37, ratio=  4.31%,amount=238361.73 
仟源医药(300254) on 07-13 22:17:50, price=25.53, ratio=  0.00%,amount=1402.03 
常山药业(300255) on 07-13 22:17:50, price=31.24, ratio=  0.00%,amount=17206.05 
星星科技(300256) on 07-13 22:17:50, price=17.53, ratio=  0.00%,amount=4775.04 
开山股份(300257) on 07-13 22:17:50, price=22.22, ratio=  0.00%,amount=2044.52 
精锻科技(300258) on 07-13 22:17:50, price=17.04, ratio=  4.54%,amount=28800.85 
新天科技(300259) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
新莱应材(300260) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
雅本化学(300261) on 07-13 22:17:50, price=14.64, ratio=  0.21%,amount=22212.14 
巴安水务(300262) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
隆华节能(300263) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
佳创视讯(300264) on 07-13 22:17:50, price=14.92, ratio=  0.00%,amount=25172.33 
通光线缆(300265) on 07-13 22:17:50, price=11.39, ratio=  0.00%,amount=2148.46 
兴源环境(300266) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
尔康制药(300267) on 07-13 22:17:50, price=32.03, ratio=  0.79%,amount=35184.23 
万福生科(300268) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
联建光电(300269) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
中威电子(300270) on 07-13 22:17:50, price=15.97, ratio=  0.00%,amount=10606.80 
华宇软件(300271) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
开能环保(300272) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
和佳股份(300273) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
阳光电源(300274) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
梅安森  (300275) on 07-13 22:17:50, price=23.02, ratio=  3.93%,amount=16687.28 
三丰智能(300276) on 07-13 22:17:50, price=32.33, ratio=  5.58%,amount=100958.26 
海联讯  (300277) on 07-13 22:17:50, price=20.31, ratio=  0.00%,amount=7108.96 
华昌达  (300278) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
和晶科技(300279) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
南通锻压(300280) on 07-13 22:17:50, price=21.86, ratio=  0.51%,amount=17263.36 
金明精机(300281) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
汇冠股份(300282) on 07-13 22:17:50, price=51.78, ratio=  6.11%,amount=21506.57 
温州宏丰(300283) on 07-13 22:17:50, price=10.23, ratio=  0.00%,amount=6119.69 
苏交科  (300284) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
国瓷材料(300285) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
安科瑞  (300286) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
飞利信  (300287) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
朗玛信息(300288) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
利德曼  (300289) on 07-13 22:17:50, price=42.59, ratio=  4.18%,amount=13537.99 
荣科科技(300290) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
华录百纳(300291) on 07-13 22:17:50, price=41.54, ratio= 19.88%,amount=103743.34 
吴通通讯(300292) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
蓝英装备(300293) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
博雅生物(300294) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
三六五网(300295) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
利亚德  (300296) on 07-13 22:17:50, price=15.49, ratio=  0.00%,amount=287.09 
蓝盾股份(300297) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
三诺生物(300298) on 07-13 22:17:50, price=41.00, ratio=  1.23%,amount=39925.03 
富春通信(300299) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
汉鼎股份(300300) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
长方照明(300301) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
同有科技(300302) on 07-13 22:17:50, price=27.16, ratio=  0.00%,amount=254.09 
聚飞光电(300303) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
云意电气(300304) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
裕兴股份(300305) on 07-13 22:17:50, price=23.83, ratio=  3.65%,amount=16293.83 
远方光电(300306) on 07-13 22:17:50, price=25.08, ratio=  0.00%,amount=14210.66 
慈星股份(300307) on 07-13 22:17:50, price=12.75, ratio=  0.00%,amount=3645.22 
中际装备(300308) on 07-13 22:17:50, price=15.84, ratio=  0.00%,amount=5875.97 
吉艾科技(300309) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
宜通世纪(300310) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
任子行  (300311) on 07-13 22:17:50, price=27.86, ratio=  0.00%,amount=7204.86 
邦讯技术(300312) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
天山生物(300313) on 07-13 22:17:50, price=13.28, ratio=  0.00%,amount=1708.93 
戴维医疗(300314) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
掌趣科技(300315) on 07-13 22:17:50, price=12.91, ratio=  0.00%,amount=49437.21 
晶盛机电(300316) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
珈伟股份(300317) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
博晖创新(300318) on 07-13 22:17:50, price=37.95, ratio=  0.00%,amount=10810.35 
麦捷科技(300319) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
海达股份(300320) on 07-13 22:17:50, price=20.57, ratio= 22.22%,amount=103246.11 
同大股份(300321) on 07-13 22:17:50, price=70.16, ratio=  0.00%,amount=7769.73 
硕贝德  (300322) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
华灿光电(300323) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
旋极信息(300324) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
德威新材(300325) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
凯利泰  (300326) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
中颖电子(300327) on 07-13 22:17:50, price=17.11, ratio=  0.00%,amount=518.93 
宜安科技(300328) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
海伦钢琴(300329) on 07-13 22:17:50, price=25.43, ratio=  0.00%,amount=15383.41 
华虹计通(300330) on 07-13 22:17:50, price=15.39, ratio=  0.26%,amount=16144.89 
苏大维格(300331) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
天壕节能(300332) on 07-13 22:17:50, price=26.85, ratio=  0.00%,amount=61341.42 
兆日科技(300333) on 07-13 22:17:50, price=76.25, ratio=  0.00%,amount=10588.74 
津膜科技(300334) on 07-13 22:17:50, price=21.46, ratio=  0.00%,amount=2993.02 
迪森股份(300335) on 07-13 22:17:50, price=15.51, ratio=  2.65%,amount=30728.02 
新文化  (300336) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
银邦股份(300337) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
开元仪器(300338) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
润和软件(300339) on 07-13 22:17:50, price=47.84, ratio=  5.61%,amount=65900.95 
科恒股份(300340) on 07-13 22:17:50, price=23.55, ratio=  0.00%,amount=4266.27 
麦迪电气(300341) on 07-13 22:17:50, price=21.27, ratio=  0.00%,amount=15995.63 
天银机电(300342) on 07-13 22:17:50, price=23.82, ratio=  0.00%,amount=520.70 
联创节能(300343) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
太空板业(300344) on 07-13 22:17:50, price=11.17, ratio=  1.55%,amount=12024.83 
红宇新材(300345) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
南大光电(300346) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
泰格医药(300347) on 07-13 22:17:50, price=47.92, ratio=  8.64%,amount=122848.43 
长亮科技(300348) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
金卡股份(300349) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
华鹏飞  (300350) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
永贵电器(300351) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
北信源  (300352) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
东土科技(300353) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
东华测试(300354) on 07-13 22:17:50, price=29.78, ratio=  0.00%,amount=12173.79 
蒙草抗旱(300355) on 07-13 22:17:50, price=13.01, ratio=  0.00%,amount=1370.54 
光一科技(300356) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
我武生物(300357) on 07-13 22:17:50, price=49.25, ratio=  9.44%,amount=31970.96 
楚天科技(300358) on 07-13 22:17:50, price=38.91, ratio=  2.94%,amount=33817.22 
全通教育(300359) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
炬华科技(300360) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
天保重装(300362) on 07-13 22:17:50, price=37.87, ratio=  3.81%,amount=10160.14 
博腾股份(300363) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
中文在线(300364) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
恒华科技(300365) on 07-13 22:17:50, price=25.96, ratio=  0.00%,amount=350.58 
创意信息(300366) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
东方网力(300367) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
汇金股份(300368) on 07-13 22:17:50, price=19.27, ratio=  0.00%,amount=12419.83 
绿盟科技(300369) on 07-13 22:17:50, price=42.58, ratio=  0.00%,amount=1718.60 
安控科技(300370) on 07-13 22:17:50, price=22.15, ratio=  0.00%,amount=7924.59 
汇中股份(300371) on 07-13 22:17:50, price=23.27, ratio=  0.00%,amount=1809.82 
欣泰电气(300372) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
扬杰科技(300373) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
恒通科技(300374) on 07-13 22:17:50, price=24.15, ratio=  4.50%,amount=17200.39 
鹏翎股份(300375) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
易事特  (300376) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
赢时胜  (300377) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
鼎捷软件(300378) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
东方通  (300379) on 07-13 22:17:50, price=61.23, ratio=  0.00%,amount=11848.53 
安硕信息(300380) on 07-13 22:17:50, price=77.23, ratio=  0.00%,amount=43406.55 
溢多利  (300381) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
斯莱克  (300382) on 07-13 22:17:50, price=43.73, ratio=  0.00%,amount=762.98 
光环新网(300383) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
三联虹普(300384) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
雪浪环境(300385) on 07-13 22:17:50, price=34.24, ratio=  0.00%,amount=1701.43 
飞天诚信(300386) on 07-13 22:17:50, price=65.22, ratio=  1.91%,amount=33296.57 
富邦股份(300387) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
国祯环保(300388) on 07-13 22:17:50, price=24.72, ratio=  0.00%,amount=14948.07 
艾比森  (300389) on 07-13 22:17:50, price=38.62, ratio=  7.28%,amount=20925.62 
天华超净(300390) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
康跃科技(300391) on 07-13 22:17:50, price=19.56, ratio=  0.00%,amount=6835.00 
腾信股份(300392) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
中来股份(300393) on 07-13 22:17:50, price=53.85, ratio=  0.02%,amount=10000.47 
天孚通信(300394) on 07-13 22:17:50, price=69.01, ratio=  0.19%,amount=12307.40 
菲利华  (300395) on 07-13 22:17:50, price=25.69, ratio=  0.00%,amount=7343.53 
迪瑞医疗(300396) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
天和防务(300397) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
飞凯材料(300398) on 07-13 22:17:50, price=76.54, ratio=  6.42%,amount=21339.00 
京天利  (300399) on 07-13 22:17:50, price=101.95, ratio=  0.06%,amount=21524.24 
劲拓股份(300400) on 07-13 22:17:50, price=33.32, ratio=  0.00%,amount=3326.58 
花园生物(300401) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
宝色股份(300402) on 07-13 22:17:50, price=16.79, ratio=  1.82%,amount=8929.33 
地尔汉宇(300403) on 07-13 22:17:50, price=46.49, ratio=  3.31%,amount=13538.79 
博济医药(300404) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
科隆精化(300405) on 07-13 22:17:50, price=50.02, ratio=  6.43%,amount=15308.10 
九强生物(300406) on 07-13 22:17:50, price=40.98, ratio=  0.00%,amount=16542.56 
凯发电气(300407) on 07-13 22:17:50, price=31.83, ratio=  0.00%,amount=8723.24 
三环集团(300408) on 07-13 22:17:50, price=46.59, ratio=  3.53%,amount=54413.43 
道氏技术(300409) on 07-13 22:17:50, price=52.36, ratio=  0.69%,amount=13222.46 
正业科技(300410) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
金盾股份(300411) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
迦南科技(300412) on 07-13 22:17:50, price=40.98, ratio=  0.44%,amount=16689.47 
快乐购  (300413) on 07-13 22:17:50, price=36.97, ratio=  0.00%,amount=7533.94 
中光防雷(300414) on 07-13 22:17:50, price=67.17, ratio=  0.00%,amount=356.80 
伊之密  (300415) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
苏试试验(300416) on 07-13 22:17:50, price=60.26, ratio=  0.47%,amount=8545.30 
南华仪器(300417) on 07-13 22:17:50, price=64.11, ratio=  0.36%,amount=9769.68 
昆仑万维(300418) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
浩丰科技(300419) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
五洋科技(300420) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
力星股份(300421) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
博世科  (300422) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
鲁亿通  (300423) on 07-13 22:17:50, price=30.92, ratio=  0.00%,amount=548.78 
航新科技(300424) on 07-13 22:17:50, price=64.69, ratio=  0.00%,amount=1405.06 
环能科技(300425) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
唐德影视(300426) on 07-13 22:17:50, price=121.07, ratio=  3.48%,amount=34447.90 
红相电力(300427) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
四通新材(300428) on 07-13 22:17:50, price=45.80, ratio=  0.00%,amount=9315.54 
强力新材(300429) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
诚益通  (300430) on 07-13 22:17:50, price=93.80, ratio=  2.74%,amount=11942.86 
暴风科技(300431) on 07-13 22:17:50, price=276.80, ratio=  0.00%,amount=8996.00 
富临精工(300432) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
蓝思科技(300433) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
金石东方(300434) on 07-13 22:17:50, price=46.63, ratio=  0.00%,amount=8185.02 
中泰股份(300435) on 07-13 22:17:50, price=46.50, ratio=  0.00%,amount=1748.46 
广生堂  (300436) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
清水源  (300437) on 07-13 22:17:50, price=62.95, ratio=  0.10%,amount=18774.52 
鹏辉能源(300438) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
美康生物(300439) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
运达科技(300440) on 07-13 22:17:50, price=56.62, ratio=  0.00%,amount=1627.83 
鲍斯股份(300441) on 07-13 22:17:50, price=42.00, ratio=  0.00%,amount=10943.48 
普丽盛  (300442) on 07-13 22:17:50, price=53.36, ratio=  1.10%,amount=20564.99 
金雷风电(300443) on 07-13 22:17:50, price=121.83, ratio=  3.25%,amount=16219.23 
双杰电气(300444) on 07-13 22:17:50, price=42.70, ratio=  1.67%,amount=18460.76 
康斯特  (300445) on 07-13 22:17:50, price=77.90, ratio=  0.00%,amount=990.51 
乐凯新材(300446) on 07-13 22:17:50, price=109.65, ratio=  6.46%,amount=19697.94 
全信股份(300447) on 07-13 22:17:50, price=66.84, ratio=  0.00%,amount=1877.20 
浩云科技(300448) on 07-13 22:17:50, price=79.77, ratio=  0.97%,amount=14655.39 
汉邦高科(300449) on 07-13 22:17:50, price=86.68, ratio=  0.00%,amount=16508.26 
先导股份(300450) on 07-13 22:17:50, price=112.41, ratio=  0.00%,amount=653.54 
创业软件(300451) on 07-13 22:17:50, price=146.56, ratio=  0.00%,amount=7589.96 
山河药辅(300452) on 07-13 22:17:50, price=62.05, ratio=  0.00%,amount=301.55 
三鑫医疗(300453) on 07-13 22:17:50, price=46.89, ratio=  0.00%,amount=9697.66 
康拓红外(300455) on 07-13 22:17:50, price=37.21, ratio=  0.00%,amount=3043.42 
耐威科技(300456) on 07-13 22:17:50, price=89.97, ratio=  0.08%,amount=9414.43 
赢合科技(300457) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
全志科技(300458) on 07-13 22:17:50, price=75.19, ratio=  4.58%,amount=32914.95 
浙江金科(300459) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
惠伦晶体(300460) on 07-13 22:17:50, price=32.23, ratio=  2.48%,amount=21670.31 
田中精机(300461) on 07-13 22:17:50, price=39.89, ratio=  0.00%,amount=7711.17 
华铭智能(300462) on 07-13 22:17:50, price=50.85, ratio=  0.00%,amount=8826.39 
迈克生物(300463) on 07-13 22:17:50, price=76.55, ratio=  0.00%,amount=1058.33 
星徽精密(300464) on 07-13 22:17:50, price=31.92, ratio=  1.33%,amount=16884.55 
高伟达  (300465) on 07-13 22:17:50, price=80.86, ratio=  2.35%,amount=31470.13 
赛摩电气(300466) on 07-13 22:17:50, price= 0.00, ratio=  0.00%,amount= 0.00 
迅游科技(300467) on 07-13 22:17:50, price=234.41, ratio=  1.92%,amount=43423.51 
四方精创(300468) on 07-13 22:17:50, price=70.68, ratio=  0.00%,amount=7063.18 
信息发展(300469) on 07-13 22:17:50, price=56.86, ratio=  0.00%,amount=5527.58 
日机密封(300470) on 07-13 22:17:50, price=77.20, ratio=  0.00%,amount=423.83 
厚普股份(300471) on 07-13 22:17:50, price=126.15, ratio=  0.28%,amount=38513.39 
新元科技(300472) on 07-13 22:17:50, price=40.99, ratio=  0.00%,amount=8393.75 
德尔股份(300473) on 07-13 22:17:50, price=60.93, ratio=  0.00%,amount=23608.80 
聚隆科技(300475) on 07-13 22:17:50, price=23.56, ratio=  0.00%,amount=515.11 
胜宏科技(300476) on 07-13 22:17:50, price=35.61, ratio=  0.00%,amount=504.06 
合纵科技(300477) on 07-13 22:17:50, price=30.65, ratio=  0.00%,amount=2211.73 
杭州高新(300478) on 07-13 22:17:50, price=39.95, ratio=  0.00%,amount=818.62 
神思电子(300479) on 07-13 22:17:50, price=57.11, ratio=  0.00%,amount=5535.57 
光力科技(300480) on 07-13 22:17:50, price=20.44, ratio=  0.00%,amount=33.85 
濮阳惠成(300481) on 07-13 22:17:50, price=29.96, ratio=  0.00%,amount=277.99 
万孚生物(300482) on 07-13 22:17:50, price=54.32, ratio=  0.00%,amount=29.88 
沃施股份(300483) on 07-13 22:17:50, price=38.64, ratio=  0.00%,amount=517.04 
赛升药业(300485) on 07-13 22:17:50, price=91.11, ratio=  0.00%,amount=3858.00 
东杰智能(300486) on 07-13 22:17:50, price=27.15, ratio=  0.00%,amount=220.39 
蓝晓科技(300487) on 07-13 22:17:50, price=41.64, ratio=  0.00%,amount=162.40 
恒锋工具(300488) on 07-13 22:17:50, price=53.08, ratio=  0.00%,amount=300.26 
中飞股份(300489) on 07-13 22:17:50, price=54.21, ratio=  0.00%,amount=100.59 
中证500 (399905) on 07-13 22:17:50, price=7695.635, ratio=  1.75%,amount=17473160.59 
浦发银行(600000) on 07-13 22:17:50, price=17.04, ratio=  0.29%,amount=636472.01 
白云机场(600004) on 07-13 22:17:50, price=14.99, ratio=  4.24%,amount=30346.55 
武钢股份(600005) on 07-13 22:17:50, price= 5.56, ratio=  7.54%,amount=256484.98 
东风汽车(600006) on 07-13 22:17:50, price= 9.33, ratio=  4.83%,amount=79600.18 
中国国贸(600007) on 07-13 22:17:50, price=14.36, ratio=  7.16%,amount=33359.11 
首创股份(600008) on 07-13 22:17:50, price=10.37, ratio=  0.00%,amount=86736.26 
上海机场(600009) on 07-13 22:17:50, price=31.93, ratio=  9.73%,amount=153427.03 
包钢股份(600010) on 07-13 22:17:50, price= 5.60, ratio=  2.00%,amount=502229.75 
华能国际(600011) on 07-13 22:17:50, price=12.45, ratio=  3.75%,amount=255527.06 
皖通高速(600012) on 07-13 22:17:50, price=12.54, ratio=  5.38%,amount=55114.18 
华夏银行(600015) on 07-13 22:17:50, price=13.04, ratio=  0.23%,amount=272365.42 
民生银行(600016) on 07-13 22:17:50, price=10.02, ratio=  0.20%,amount=915963.54 
日照港  (600017) on 07-13 22:17:50, price= 7.17, ratio=  0.00%,amount=61069.07 
上港集团(600018) on 07-13 22:17:50, price= 8.86, ratio=  0.68%,amount=330903.27 
宝钢股份(600019) on 07-13 22:17:50, price= 8.20, ratio=  2.37%,amount=307814.57 
中原高速(600020) on 07-13 22:17:50, price= 6.17, ratio=  4.22%,amount=55732.12 
上海电力(600021) on 07-13 22:17:50, price=20.76, ratio=  2.77%,amount=175655.03 
山东钢铁(600022) on 07-13 22:17:50, price= 4.39, ratio=  3.54%,amount=108050.25 
浙能电力(600023) on 07-13 22:17:50, price= 9.54, ratio=  6.00%,amount=321273.78 
中海发展(600026) on 07-13 22:17:50, price=10.25, ratio=  6.77%,amount=137742.93 
华电国际(600027) on 07-13 22:17:50, price= 8.56, ratio=  4.90%,amount=219939.22 
中国石化(600028) on 07-13 22:17:50, price= 7.18, ratio= -0.42%,amount=630676.90 
南方航空(600029) on 07-13 22:17:50, price=11.75, ratio=  6.82%,amount=379205.28 
中信证券(600030) on 07-13 22:17:50, price=27.41, ratio=  1.14%,amount=1687103.26 
三一重工(600031) on 07-13 22:17:50, price= 8.02, ratio=  7.51%,amount=265347.45 
福建高速(600033) on 07-13 22:17:50, price= 4.99, ratio=  2.46%,amount=51201.82 
楚天高速(600035) on 07-13 22:17:50, price= 6.29, ratio=  5.71%,amount=39483.37 
招商银行(600036) on 07-13 22:17:50, price=18.31, ratio= -1.08%,amount=716044.90 
歌华有线(600037) on 07-13 22:17:50, price=25.77, ratio=  0.00%,amount=55608.76 
中直股份(600038) on 07-13 22:17:50, price=50.84, ratio=  0.00%,amount=77564.55 
XD四川(600039) on 07-13 22:17:50, price= 6.19, ratio=  3.69%,amount=96330.33 
保利地产(600048) on 07-13 22:17:50, price=11.36, ratio=  3.27%,amount=632627.40 
中国联通(600050) on 07-13 22:17:50, price= 7.81, ratio=  1.43%,amount=752724.16 
宁波联合(600051) on 07-13 22:17:50, price=11.33, ratio=  1.61%,amount=18660.96 
浙江广厦(600052) on 07-13 22:17:50, price= 8.25, ratio=  0.00%,amount=1572.15 
中江地产(600053) on 07-13 22:17:50, price=13.14, ratio=  0.00%,amount= 0.00 
黄山旅游(600054) on 07-13 22:17:50, price=15.50, ratio=  0.00%,amount=600.01 
华润万东(600055) on 07-13 22:17:50, price=40.99, ratio=  0.27%,amount=15949.14 
中国医药(600056) on 07-13 22:17:50, price=17.79, ratio=  1.77%,amount=62023.80 
象屿股份(600057) on 07-13 22:17:50, price= 8.33, ratio=  0.00%,amount=228.81 
五矿发展(600058) on 07-13 22:17:50, price=19.10, ratio=  0.00%,amount=1328.15 
古越龙山(600059) on 07-13 22:17:50, price=11.59, ratio=  1.67%,amount=51384.42 
海信电器(600060) on 07-13 22:17:50, price=19.45, ratio=  0.00%,amount=7839.56 
中纺投资(600061) on 07-13 22:17:50, price=37.82, ratio=  0.00%,amount= 0.00 
华润双鹤(600062) on 07-13 22:17:50, price=26.32, ratio=  5.24%,amount=78183.74 
皖维高新(600063) on 07-13 22:17:50, price= 6.78, ratio=  0.59%,amount=85143.94 
南京高科(600064) on 07-13 22:17:50, price=21.85, ratio=  4.30%,amount=87680.71 
宇通客车(600066) on 07-13 22:17:50, price=21.19, ratio= -0.75%,amount=156860.47 
冠城大通(600067) on 07-13 22:17:50, price= 8.78, ratio=  1.04%,amount=66558.63 
葛洲坝  (600068) on 07-13 22:17:50, price= 9.87, ratio=  7.40%,amount=298607.00 
*ST银鸽 (600069) on 07-13 22:17:50, price= 5.51, ratio=  1.66%,amount=36738.68 
浙江富润(600070) on 07-13 22:17:50, price=14.19, ratio=  5.90%,amount=73531.62 
*ST光学 (600071) on 07-13 22:17:50, price=19.86, ratio=  0.00%,amount=10755.08 
