上证50 (000016) on 06-17 17:05:51, price= 3000.03, ratio= -1.57%,amount=941910.56 
黔轮胎Ａ(000589) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
*ST古汉 (000590) on 07-13 22:17:49, price=19.92, ratio=  1.79%,amount=35311.79 
桐君阁  (000591) on 07-13 22:17:49, price=15.72, ratio=  0.00%,amount=2250.12 
平潭发展(000592) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
大通燃气(000593) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
宝塔实业(000595) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
古井贡酒(000596) on 07-13 22:17:49, price=38.32, ratio=  5.62%,amount=37874.99 
东北制药(000597) on 07-13 22:17:49, price= 9.27, ratio=  0.00%,amount=14012.80 
兴蓉环境(000598) on 07-13 22:17:49, price= 7.85, ratio=  5.37%,amount=132558.92 
青岛双星(000599) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
建投能源(000600) on 07-13 22:17:49, price=15.29, ratio=  6.77%,amount=60955.07 
韶能股份(000601) on 07-13 22:17:49, price= 6.25, ratio=  0.00%,amount=1207.34 
盛达矿业(000603) on 07-13 22:17:49, price=18.32, ratio=  0.00%,amount=30502.53 
渤海股份(000605) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
青海明胶(000606) on 07-13 22:17:49, price= 8.42, ratio=  0.24%,amount=27214.11 
华媒控股(000607) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
阳光股份(000608) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
绵世股份(000609) on 07-13 22:17:49, price=10.54, ratio=  5.40%,amount=19737.55 
西安旅游(000610) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
*ST蒙发 (000611) on 07-13 22:17:49, price= 8.83, ratio=  6.64%,amount=46678.38 
焦作万方(000612) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
大东海A(000613) on 07-13 22:17:49, price= 8.66, ratio=  0.00%,amount=13094.60 
